day,price
1,1305299165.883903
2,2.160820068612869e+18
3,3.2200171846524714e+27
4,1.1758098549875047e+36
5,1.7381402141583854e+45
6,1.7726212474374123e+54
7,1.2997742003991306e+63
8,1.941666177007021e+72
9,4.4579281878626086e+80
10,4.226602488566465e+89
11,4.187953134551105e+98
12,6.744572178528497e+107
13,6.889974932507513e+114
14,4.5340812579222745e+123
15,5.70512480335572e+132
16,7.785945696292551e+141
17,9.060241981447547e+150
18,8.79893184162225e+159
19,9.756487150084148e+168
20,5.2564070972245865e+177
21,7.001443071063198e+186
22,4.150709587623286e+195
23,2.5949734221563385e+204
24,1.2654772254714837e+213
25,6.455968791165118e+221
26,6.769651165496165e+230
27,6.983266444327272e+239
28,6.549693605354701e+248
29,5.820799066320074e+257
30,6.287362221411222e+266
